"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.001483, 1, 0.001483, colsample_bytree='0.2890479595400393',eta='0.02972240058848022',max_depth='1',reg_lambda='0.23594281684827217'
0.026622, 0.381900, 0.029211, 1, 0.002589, colsample_bytree='0.2890479595400393',eta='0.02972240058848022',max_depth='1',reg_lambda='0.23594281684827217'
0.101339, 0.371800, 0.106590, 2, 0.005251, colsample_bytree='0.839533680677414',eta='0.03178815964339868',max_depth='7',reg_lambda='260.08137409645684'
0.215431, 0.341500, 0.222638, 3, 0.007206, colsample_bytree='1.0',eta='0.3',max_depth='10',reg_lambda='1.0'
0.532242, 0.333300, 0.553336, 4, 0.021094, colsample_bytree='0.6967330143786967',eta='0.5491817241792905',max_depth='1',reg_lambda='0.02427911263315825'
0.856103, 0.324300, 0.896571, 5, 0.040468, colsample_bytree='0.2529058099724353',eta='0.7089042475303222',max_depth='10',reg_lambda='0.0021408774596134435'
1.043352, 0.266800, 1.093303, 6, 0.049950, colsample_bytree='0.7856166652403772',eta='0.9117625916488072',max_depth='4',reg_lambda='0.06672038436959972'
2.648078, 0.227600, 18.152032, 7, 15.503953, colsample_bytree='0.7943231979685119',eta='0.9119023988530939',max_depth='4',reg_lambda='0.09802252627775662'
2.832994, 0.206400, 19.077313, 8, 16.244319, colsample_bytree='0.7524660069893129',eta='0.9129771219472117',max_depth='3',reg_lambda='0.10201510218477271'
3.345102, 0.192200, 25.660888, 9, 22.315786, colsample_bytree='0.7512496762746875',eta='0.9688268229059147',max_depth='3',reg_lambda='0.10199827314192318'
3.673764, 0.175400, 29.582208, 10, 25.908444, colsample_bytree='0.7512496762746875',eta='0.9999073056737924',max_depth='3',reg_lambda='0.09665303153170059'
4.768009, 0.172800, 50.852293, 11, 46.084284, colsample_bytree='0.7513415657539618',eta='0.9951508136037516',max_depth='3',reg_lambda='0.09602522536590911'
5.377958, 0.163400, 62.592970, 12, 57.215012, colsample_bytree='0.7513726999089223',eta='0.9934056070011962',max_depth='3',reg_lambda='0.09644771682978678'
8.030135, 0.162500, 119.599095, 13, 111.568959, colsample_bytree='0.9117686272632382',eta='0.9939655980911747',max_depth='3',reg_lambda='0.09670120340328016'
