"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000696, 1, 0.000696, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
5.564314, 0.101800, 5.566028, 1, 0.001714, alpha='0.0004126639093412234',eta0='0.0017613324954003418'
72.621522, 0.097000, 72.636750, 2, 0.015228, alpha='1.3751027885583958e-05',eta0='0.0001426968473177047'
100.277270, 0.094300, 100.301053, 3, 0.023783, alpha='0.001',eta0='0.01'
161.234982, 0.092600, 161.275874, 4, 0.040892, alpha='0.003103826373830339',eta0='0.010415000482871395'
256.006417, 0.090600, 256.434404, 5, 0.427987, alpha='0.006850873689746492',eta0='0.011904160969671467'
333.591242, 0.087800, 335.014126, 6, 1.422884, alpha='0.007071781748741751',eta0='0.008676526350019309'
372.853623, 0.086300, 374.808251, 7, 1.954628, alpha='0.00749170525584017',eta0='0.003731033320799018'
412.039516, 0.086000, 414.446531, 8, 2.407015, alpha='0.0076285723073493475',eta0='0.0026988252312864854'
445.434956, 0.084800, 448.384455, 9, 2.949499, alpha='0.0097325346339356',eta0='0.00325033690928832'
673.159860, 0.084300, 686.491668, 10, 13.331808, alpha='0.016562725411478935',eta0='0.0021114864123982827'
1180.804629, 0.084100, 1210.683528, 11, 29.878899, alpha='0.017527441740447118',eta0='0.0017070733241443036'
