"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000689, 1, 0.000689, C='0.08611366210550205',gamma='0.4942679928374453'
0.066524, 0.900000, 0.068085, 1, 0.001561, C='0.08611366210550205',gamma='0.4942679928374453'
0.278520, 0.886700, 0.282566, 2, 0.004046, C='19.433598606658386',gamma='9.232350409327609'
0.428105, 0.758500, 0.433927, 3, 0.005822, C='1.0',gamma='0.1'
0.799597, 0.529700, 0.809012, 4, 0.009415, C='69.38389384208695',gamma='0.0015531477828170245'
2.872334, 0.529600, 4.018979, 5, 1.146645, C='267.50625489214497',gamma='0.001176971407182432'
3.618928, 0.524300, 5.223546, 6, 1.604618, C='667.3241825123779',gamma='0.0011638938853651712'
4.168557, 0.521700, 5.781106, 7, 1.612549, C='703.0683976300016',gamma='0.0011347260659962867'
4.815077, 0.515800, 6.735237, 8, 1.920160, C='821.5250510637136',gamma='0.0010364041331532153'
5.365542, 0.514400, 7.295164, 9, 1.929622, C='826.1110773317781',gamma='0.0009969669691309018'
