"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.001577, 1, 0.001577, max_depth='1',max_features='0.49276944529265165',min_samples_leaf='4',min_samples_split='9'
0.187892, 0.833300, 0.190431, 1, 0.002539, max_depth='1',max_features='0.49276944529265165',min_samples_leaf='4',min_samples_split='9'
1.620445, 0.660100, 1.625582, 2, 0.005138, max_depth='22',max_features='0.502463330514729',min_samples_leaf='18',min_samples_split='83'
3.060290, 0.627000, 3.067480, 3, 0.007190, max_depth='10',max_features='0.5',min_samples_leaf='1',min_samples_split='32'
23.921186, 0.547000, 23.939463, 4, 0.018277, max_depth='11',max_features='0.9135355520993471',min_samples_leaf='2',min_samples_split='4'
45.202661, 0.533100, 45.256383, 5, 0.053723, max_depth='35',max_features='0.653578007593751',min_samples_leaf='3',min_samples_split='2'
61.357197, 0.519500, 61.436133, 6, 0.078936, max_depth='25',max_features='0.7711025746539235',min_samples_leaf='1',min_samples_split='10'
162.453288, 0.518500, 178.533002, 7, 16.079714, max_depth='26',max_features='0.7714721945518088',min_samples_leaf='1',min_samples_split='10'
178.374522, 0.510900, 195.240783, 8, 16.866261, max_depth='26',max_features='0.7714721945518088',min_samples_leaf='1',min_samples_split='4'
196.996233, 0.505100, 216.030515, 9, 19.034282, max_depth='22',max_features='0.7408212867509089',min_samples_leaf='1',min_samples_split='3'
276.137204, 0.504100, 313.752436, 10, 37.615232, max_depth='30',max_features='0.7410687117474701',min_samples_leaf='1',min_samples_split='3'
294.959544, 0.502800, 335.608381, 11, 40.648837, max_depth='33',max_features='0.7410687117474701',min_samples_leaf='1',min_samples_split='3'
306.435863, 0.502500, 347.106013, 12, 40.670150, max_depth='44',max_features='0.740951478681576',min_samples_leaf='1',min_samples_split='3'
