"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000555, 1, 0.000555, C='0.017961675793542162',gamma='0.9046232030638993'
0.022762, 0.750000, 0.024060, 1, 0.001298, C='0.017961675793542162',gamma='0.9046232030638993'
0.145714, 0.552000, 0.152041, 2, 0.006327, C='12.958180650233897',gamma='0.01207858159167579'
0.309777, 0.369100, 0.330005, 3, 0.020228, C='0.7731863785266639',gamma='0.0012442315522724887'
0.604701, 0.342500, 0.645532, 4, 0.040832, C='176.75556488562856',gamma='0.002712060563487799'
0.779516, 0.341200, 1.281783, 5, 0.502267, C='189.5336946290175',gamma='0.002322074919356199'
0.865353, 0.340600, 1.377549, 6, 0.512196, C='188.6885669437408',gamma='0.0018932514315479659'
0.948328, 0.336500, 1.468342, 7, 0.520014, C='189.69475472646425',gamma='0.0018061021381874105'
1.128947, 0.332100, 1.930138, 8, 0.801191, C='549.0538253478886',gamma='0.0015908060548052718'
1.358543, 0.324900, 3.012159, 9, 1.653616, C='524.0497566343649',gamma='0.001012193882492176'
1.542013, 0.320700, 4.081139, 10, 2.539126, C='120.01370922973004',gamma='0.0009890737100295517'
1.993256, 0.313700, 7.068803, 11, 5.075547, C='5.089450972129263',gamma='0.0009848767917290488'
2.088746, 0.307500, 7.531401, 12, 5.442655, C='2.551762780723887',gamma='0.0009851618640242677'
