"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000562, 1, 0.000562, C='0.08611366210550205',gamma='0.4942679928374453'
0.010139, 0.500000, 0.011414, 1, 0.001275, C='0.08611366210550205',gamma='0.4942679928374453'
0.093740, 0.396000, 0.099205, 2, 0.005465, C='69.38389384208695',gamma='0.0015531477828170245'
0.500600, 0.393700, 1.137891, 3, 0.637291, C='135.51694553963787',gamma='0.0015664972603746641'
1.062123, 0.390400, 4.184316, 4, 3.122193, C='10.482952389628903',gamma='0.0023476788435016715'
1.219586, 0.380600, 4.933894, 5, 3.714308, C='8.870036246567754',gamma='0.0022173033929165672'
1.290654, 0.376900, 5.387420, 6, 4.096766, C='6.482347021738505',gamma='0.0021855955303216952'
2.581468, 0.375000, 13.909124, 7, 11.327656, C='3.7818416184605805',gamma='0.0021853531346358243'
2.638626, 0.373200, 13.985709, 8, 11.347083, C='4.6358223233274565',gamma='0.0021855955303216952'
3.210133, 0.365200, 17.812301, 9, 14.602168, C='4.547201892201315',gamma='0.0016773894453297386'
